	GSS095F071	2020- 1-29 13:35	11	1 
	MgO	mass%	112	1.2825
	Al2O3	mass%	113	6.6106
	SiO2	mass%	114	21.219
	SO3	mass%	116	0.3293
	Cl	mass%	17	1.1048
	K2O	mass%	119	3.4301
	CaO	mass%	120	33.882
	TiO2	mass%	122	2.5531
	Fe2O3	mass%	126	29.113
	ZnO	mass%	130	0.1103
	SrO	mass%	138	0.3645
	GSS095F072	2020- 1-29 14:07	12	1
	Al2O3	mass%	113	4.8780
	SiO2	mass%	114	14.108
	P2O5	mass%	115	0.2569
	SO3	mass%	116	0.3576
	Cl	mass%	17	0.8112
	K2O	mass%	119	2.2363
	CaO	mass%	120	57.642
	TiO2	mass%	122	1.8041
	MnO	mass%	125	0.1699
	Fe2O3	mass%	126	17.187
	NiO	mass%	128	0.0899
	SrO	mass%	138	0.4590
	GSS095F073	2020- 1-29 14:38	11	1
	Al2O3	mass%	113	4.3991
	SiO2	mass%	114	13.233
	P2O5	mass%	115	0.2843
	SO3	mass%	116	0.3864
	Cl	mass%	17	1.7212
	K2O	mass%	119	2.3995
	CaO	mass%	120	57.867
	TiO2	mass%	122	1.6467
	Fe2O3	mass%	126	17.415
	ZnO	mass%	130	0.0982
	SrO	mass%	138	0.5500
	GSS095F074	2020- 1-29 15:09	10	1
	Al2O3	mass%	113	4.5422
	SiO2	mass%	114	12.756
	P2O5	mass%	115	0.3631
	SO3	mass%	116	0.3824
	Cl	mass%	17	1.1601
	K2O	mass%	119	2.2325
	CaO	mass%	120	59.823
	TiO2	mass%	122	1.6905
	Fe2O3	mass%	126	16.491
	SrO	mass%	138	0.5598
	GSS095F075	2020- 1-29 15:40	13	1
	Na2O	mass%	111	0.5510
	Al2O3	mass%	113	5.5945
	SiO2	mass%	114	18.581
	P2O5	mass%	115	0.2360
	SO3	mass%	116	0.4482
	Cl	mass%	17	1.5363
	K2O	mass%	119	3.2643
	CaO	mass%	120	46.148
	TiO2	mass%	122	2.2725
	MnO	mass%	125	0.2149
	Fe2O3	mass%	126	20.665
	ZnO	mass%	130	0.0890
	SrO	mass%	138	0.3985
	GSS095F076	2020- 1-29 16:12	11	1
	Al2O3	mass%	113	5.5420
	SiO2	mass%	114	18.339
	P2O5	mass%	115	0.2726
	SO3	mass%	116	0.3190
	Cl	mass%	17	1.2899
	K2O	mass%	119	3.2480
	CaO	mass%	120	48.379
	TiO2	mass%	122	2.5562
	MnO	mass%	125	0.2144
	Fe2O3	mass%	126	19.499
	SrO	mass%	138	0.3407
	GSS095F077	2020- 1-29 16:43	11	1
	Al2O3	mass%	113	7.6002
	SiO2	mass%	114	22.324
	P2O5	mass%	115	0.1612
	SO3	mass%	116	0.2777
	Cl	mass%	17	0.9430
	K2O	mass%	119	3.5064
	CaO	mass%	120	36.336
	TiO2	mass%	122	2.2308
	Fe2O3	mass%	126	26.177
	ZnO	mass%	130	0.0915
	SrO	mass%	138	0.3524
	GSS095F078	2020- 1-29 17:14	11	1
	MgO	mass%	112	1.0930
	Al2O3	mass%	113	5.9841
	SiO2	mass%	114	21.260
	SO3	mass%	116	0.4873
	Cl	mass%	17	2.6794
	K2O	mass%	119	3.2146
	CaO	mass%	120	36.607
	TiO2	mass%	122	1.8901
	Fe2O3	mass%	126	26.376
	ZnO	mass%	130	0.1068
	SrO	mass%	138	0.3021
	GSS095F079	2020- 2- 3 17:18	11	1
	Al2O3	mass%	113	3.4142
	SiO2	mass%	114	11.174
	P2O5	mass%	115	0.3042
	SO3	mass%	116	0.5577
	Cl	mass%	17	2.9650
	K2O	mass%	119	2.2711
	CaO	mass%	120	65.595
	TiO2	mass%	122	1.5091
	Fe2O3	mass%	126	11.730
	ZnO	mass%	130	0.0876
	SrO	mass%	138	0.3919
	GSS095F080	2020- 2- 3 17:49	13	1
	Al2O3	mass%	113	7.5092
	SiO2	mass%	114	20.895
	P2O5	mass%	115	0.1816
	SO3	mass%	116	0.2543
	Cl	mass%	17	0.9143
	K2O	mass%	119	3.2267
	CaO	mass%	120	40.959
	TiO2	mass%	122	2.2269
	MnO	mass%	125	0.1628
	Fe2O3	mass%	126	23.060
	ZnO	mass%	130	0.0876
	Rb2O	mass%	137	0.0650
	SrO	mass%	138	0.4584
	GSS095F081	2020- 2- 3 18:20	9	1
	Al2O3	mass%	113	9.1939
	SiO2	mass%	114	22.964
	Cl	mass%	17	0.7062
	K2O	mass%	119	2.9887
	CaO	mass%	120	42.148
	TiO2	mass%	122	2.0624
	Fe2O3	mass%	126	19.597
	ZnO	mass%	130	0.1464
